date,portfolio_value,cash,positions,total_pnl
2025-04-01,100000.0,100000.0,0,0.0
2025-04-02,100000.0,100000.0,0,0.0
2025-04-03,105490.36,89138.07,3,0.0
2025-04-04,104590.56,89138.07,3,0.0
2025-04-07,110025.27,79439.3,6,-960.11
2025-04-08,109788.46,79439.3,6,-960.11
2025-04-09,114176.76,70501.58,9,-2395.39
2025-04-10,114890.93,70501.58,9,-2395.39
2025-04-11,115473.96,74067.98,9,-1327.39
2025-04-14,115841.4,74067.98,9,-1327.39
2025-04-15,115565.19,74067.98,9,-1327.39
2025-04-16,115616.26,74067.98,9,-1327.39
2025-04-17,114601.4,76424.13,9,-1620.79
2025-04-21,113259.43,76424.13,9,-1620.79
2025-04-22,114567.51,68555.67,10,-3142.42
2025-04-23,114166.1,68555.67,10,-3142.42
2025-04-24,109802.84,58842.62,10,-2766.92
2025-04-25,110245.88,58842.62,10,-2766.92
2025-04-28,110244.0,52304.08,11,-2766.92
2025-04-29,110189.42,52304.08,11,-2766.92
2025-04-30,110065.77,45758.58,12,-2766.92
2025-05-01,109130.07,45758.58,12,-2766.92
2025-05-02,104808.75,42585.33,11,-2918.22
2025-05-05,104926.43,42585.33,11,-2918.22
2025-05-06,103750.75,36345.35,12,-2918.22
2025-05-07,103534.76,36345.35,12,-2918.22
2025-05-08,103250.55,35834.9,12,-4298.6
2025-05-09,103132.45,35834.9,12,-4298.6
2025-05-12,99124.15,24542.0,12,-4340.08
2025-05-13,100015.95,24542.0,12,-4340.08
2025-05-14,100270.65,30687.53,11,-4830.29
2025-05-15,100680.07,30687.53,11,-4830.29
2025-05-16,101100.66,23157.86,12,-5338.67
2025-05-19,101247.38,23157.86,12,-5338.67
2025-05-20,100939.96,23245.86,12,-4413.01
2025-05-21,100331.67,23245.86,12,-4413.01
2025-05-22,100540.48,23668.24,12,-4447.69
2025-05-23,99688.05,23668.24,12,-4447.69
2025-05-27,101732.62,23668.24,12,-4447.69
2025-05-28,101611.65,23668.24,12,-4447.69
2025-05-29,101594.22,23668.24,12,-4447.69
2025-05-30,101425.5,23668.24,12,-4447.69
2025-06-02,102532.19,23502.36,12,-4672.27
2025-06-03,103070.39,23502.36,12,-4672.27
2025-06-04,103739.31,23467.48,12,-4551.63
2025-06-05,103465.19,23467.48,12,-4551.63
2025-06-06,104142.0,21203.91,13,-2252.55
2025-06-09,104297.61,21203.91,13,-2252.55
2025-06-10,104648.24,21203.91,13,-2252.55
2025-06-11,104817.9,21203.91,13,-2252.55
2025-06-12,109004.02,29844.01,13,-2475.91
2025-06-13,107932.63,29844.01,13,-2475.91
2025-06-16,114475.18,35485.68,14,-1905.69
2025-06-17,114142.17,35485.68,14,-1905.69
2025-06-18,114068.07,36007.86,14,-879.21
2025-06-20,113136.5,36007.86,14,-879.21
2025-06-23,113794.71,36007.86,14,-879.21
2025-06-24,115639.67,36007.86,14,-879.21
2025-06-25,110857.59,30584.46,13,-1134.61
2025-06-26,111575.62,30584.46,13,-1134.61
2025-06-27,108023.09,32468.47,11,-1232.99
