date,portfolio_value,cash,positions,total_pnl
2025-10-01,100000.0,100000.0,0,0.0
2025-10-02,100000.0,100000.0,0,0.0
2025-10-03,99346.8,74521.62,3,0.0
2025-10-06,99321.2,74521.62,3,0.0
2025-10-07,104445.94,65899.22,6,0.0
2025-10-08,104469.93,65899.22,6,0.0
2025-10-09,110092.01,65276.53,8,0.0
2025-10-10,108781.93,65276.53,8,0.0
2025-10-13,114997.9,62174.03,10,0.0
2025-10-14,114220.68,62174.03,10,0.0
2025-10-15,115161.2,46509.34,12,-294.15
2025-10-16,115330.94,46509.34,12,-294.15
2025-10-17,120717.71,58695.22,12,-582.14
2025-10-20,121350.34,58695.22,12,-582.14
2025-10-21,109594.85,34747.7,12,-864.18
2025-10-22,108939.1,34747.7,12,-864.18
2025-10-23,109772.23,28301.26,13,-864.18
2025-10-24,112117.84,28301.26,13,-864.18
2025-10-27,113552.54,28301.26,13,-864.18
2025-10-28,114957.51,28301.26,13,-864.18
2025-10-29,116604.72,38553.9,12,840.95
2025-10-30,115828.1,38553.9,12,840.95
2025-10-31,116934.61,29543.56,13,840.95
2025-11-03,118307.38,29543.56,13,840.95
2025-11-04,115619.69,27863.09,13,972.02
2025-11-05,116914.89,27863.09,13,972.02
2025-11-06,115083.46,27863.09,13,972.02
2025-11-07,114946.72,27863.09,13,972.02
2025-11-10,118257.85,28576.23,13,975.44
2025-11-11,117607.15,28576.23,13,975.44
2025-11-12,118373.72,36155.73,12,453.4
2025-11-13,116596.69,36155.73,12,453.4
2025-11-14,117119.33,36302.19,12,478.6
2025-11-17,116680.98,36302.19,12,478.6
2025-11-18,121485.63,42133.42,13,478.6
2025-11-19,121585.42,42133.42,13,478.6
2025-11-20,120181.1,41860.85,13,-429.86
2025-11-21,120852.43,41860.85,13,-429.86
2025-11-24,122258.93,47566.69,12,-1170.46
2025-11-25,122819.28,47566.69,12,-1170.46
2025-11-26,118006.07,51264.6,10,-2477.48
2025-11-28,117795.53,51264.6,10,-2477.48
2025-12-01,123637.75,58264.09,11,-2477.48
2025-12-02,122876.26,58264.09,11,-2477.48
2025-12-03,116285.58,57237.1,9,-3023.08
2025-12-04,116015.13,57237.1,9,-3023.08
2025-12-05,109253.52,50170.61,8,-3090.08
2025-12-08,108683.2,50170.61,8,-3090.08
2025-12-09,108313.92,43674.23,9,-3090.08
2025-12-10,109384.37,43674.23,9,-3090.08
2025-12-11,109633.98,53610.63,8,-1277.18
2025-12-12,107960.67,53610.63,8,-1277.18
2025-12-15,107893.19,47779.21,9,1173.33
2025-12-16,108001.36,47779.21,9,1173.33
2025-12-17,106492.43,47779.21,9,1173.33
2025-12-18,108118.64,47779.21,9,1173.33
2025-12-19,109514.35,49486.87,9,629.63
2025-12-22,110648.57,49486.87,9,629.63
2025-12-23,110309.71,49486.87,9,629.63
2025-12-24,110909.81,49486.87,9,629.63
2025-12-26,110464.47,49486.87,9,629.63
2025-12-29,110300.91,49486.87,9,629.63
2025-12-30,109793.91,33804.25,11,629.63
